ElementNotInteractableException,2023-07-24 19:59,2023-07-29 19:59,1,1
ElementNotInteractableException,2023-07-24 19:59,2023-07-29 19:59,2,1
ElementNotInteractableException,2023-07-24 19:59,2023-07-29 19:59,3,1
empty_element,2023-07-24 19:59,2023-08-20 19:59,0,2
empty_element,2023-07-24 19:59,2023-08-20 19:59,1,2
empty_element,2023-07-26 19:59,2023-08-06 19:59,0,1
empty_element,2023-07-26 19:59,2023-08-11 19:59,0,1
empty_element,2023-07-26 19:59,2023-08-06 19:59,1,1
empty_element,2023-07-26 19:59,2023-08-14 19:59,0,1
empty_element,2023-07-26 19:59,2023-08-11 19:59,1,1
empty_element,2023-07-26 19:59,2023-08-14 19:59,1,1
ElementNotInteractableException,2023-07-26 19:59,2023-08-20 19:59,1,1
ElementNotInteractableException,2023-07-26 19:59,2023-08-20 19:59,2,1
ElementNotInteractableException,2023-07-26 19:59,2023-08-20 19:59,3,1
empty_element,2023-07-28 19:59,2023-08-04 19:59,3,0
ElementNotInteractableException,2023-07-31 19:59,2023-08-04 19:59,1,0
ElementNotInteractableException,2023-07-31 19:59,2023-08-04 19:59,2,0
ElementNotInteractableException,2023-07-31 19:59,2023-08-04 19:59,3,0
empty_element,2023-07-31 19:59,2023-08-10 19:59,0,3
empty_element,2023-07-31 19:59,2023-08-10 19:59,1,3
ElementNotInteractableException,2023-08-01 19:59,2023-08-08 19:59,1,0
ElementNotInteractableException,2023-08-01 19:59,2023-08-08 19:59,2,0
ElementNotInteractableException,2023-08-01 19:59,2023-08-08 19:59,3,0
empty_element,2023-08-13 19:59,2023-08-17 19:59,3,0
ElementNotInteractableException,2023-08-14 19:59,2023-08-25 19:59,1,0
ElementNotInteractableException,2023-08-14 19:59,2023-08-25 19:59,2,0
ElementNotInteractableException,2023-08-14 19:59,2023-08-25 19:59,3,0
empty_element,2023-08-18 19:59,2023-08-24 19:59,2,0
